Open,High,Low,Close,Volume,Date
11.100000381469727,11.760000228881836,9.109999656677246,10.449999809265137,482300,2023-08-14
22.0,38.77799987792969,16.0,37.060001373291016,6891900,2023-08-15
26.5,30.549999237060547,24.163000106811523,29.020000457763672,3108600,2023-08-16
27.860000610351562,29.360000610351562,19.8799991607666,20.0,1831500,2023-08-17
19.639999389648438,19.677000045776367,11.609999656677246,15.399999618530273,2971300,2023-08-18
16.780000686645508,18.889999389648438,16.0,17.579999923706055,2126500,2023-08-21
19.0,46.97999954223633,18.799999237060547,36.720001220703125,19413700,2023-08-22
30.170000076293945,45.0,29.81999969482422,37.029998779296875,8267500,2023-08-23
38.70000076293945,57.79999923706055,37.369998931884766,49.0,12923500,2023-08-24
55.20000076293945,73.9000015258789,55.029998779296875,68.7699966430664,15278100,2023-08-25
84.0,93.0,75.91999816894531,82.3499984741211,12782400,2023-08-28
74.5199966430664,76.93000030517578,46.0,46.25,10794700,2023-08-29
53.400001525878906,57.5,37.5,41.27000045776367,10804800,2023-08-30
44.29999923706055,44.400001525878906,33.560001373291016,34.709999084472656,6503500,2023-08-31
32.52000045776367,34.34000015258789,26.261999130249023,29.4950008392334,7362900,2023-09-01
26.610000610351562,30.6200008392334,26.020000457763672,26.1299991607666,6312400,2023-09-05
26.700000762939453,27.200000762939453,24.469999313354492,24.5,5605300,2023-09-06
22.0,23.00200080871582,17.600000381469727,17.989999771118164,9917400,2023-09-07
19.479999542236328,19.489999771118164,16.329999923706055,17.149999618530273,8534000,2023-09-08
16.0,17.049999237060547,15.329999923706055,16.56999969482422,7693900,2023-09-11
16.489999771118164,18.329999923706055,15.449999809265137,17.209999084472656,7676600,2023-09-12
17.200000762939453,17.479999542236328,16.43000030517578,17.209999084472656,3039300,2023-09-13
16.989999771118164,17.239999771118164,16.525999069213867,16.850000381469727,2112700,2023-09-14
16.5,17.8799991607666,16.5,17.530000686645508,3808300,2023-09-15
17.1299991607666,18.450000762939453,16.889999389648438,17.31999969482422,2864000,2023-09-18
17.139999389648438,18.100000381469727,17.030000686645508,17.799999237060547,2472400,2023-09-19
17.649999618530273,17.84000015258789,17.190000534057617,17.190000534057617,1384200,2023-09-20
16.889999389648438,17.152999877929688,15.163999557495117,15.75,3275300,2023-09-21
16.3799991607666,16.399999618530273,15.010000228881836,15.630000114440918,2243800,2023-09-22
15.050000190734863,15.210000038146973,13.619999885559082,14.0,2352600,2023-09-25
13.899999618530273,13.979999542236328,12.800000190734863,12.880000114440918,2275500,2023-09-26
12.609999656677246,12.739999771118164,11.079999923706055,11.220000267028809,3063000,2023-09-27
